Marca,Descrição,Tipo,Preço
Tio Lucas,Arroz tio lucas 1kg,Arroz Branco,835
Patriota,Arroz tailandia patriota 1kg,Arroz Branco,840
Alimo,Arroz alimo 1kg,Arroz Branco,990
Kingstar,Arroz paraboilizado thai kingstar 1kg,Arroz Branco,1.235
Camil,Arroz parabolizado camil 1kg,Arroz Branco,1.435
Al Fina,Arroz basmati al fina 1kg classico,Arroz Basmati,1.425
Zeeba,Arroz basmati zeeba stream 1kg,Arroz Basmati,2.555
Sona,Arroz basmati sona gold 1kg,Arroz Basmati,2.970
Sona,Arroz basmati sona natural bidon 1kg,Arroz Basmati,3.160
Sona,Arroz basmati sona natural bidon 2kg,Arroz Basmati,6.315
Al Fina,Arroz basmati al fina 5kg classico,Arroz Basmati,7.850
Sona,Arroz basmati sona saco 5kg sella,Arroz Basmati,7.960
Zeeba,Arroz basmati zeeba stream 5kg,Arroz Basmati,11.140
Sona,Arroz basmati sona natural saco 5kg pusa gold,Arroz Basmati,14.840
Sona,Arroz basmati sona 5kg jar silver,Arroz Basmati,15.040
Sona,Arroz basmati sona saco 5kg pusa silver,Arroz Basmati,15.255
Sona,Arroz basmati sona 5kg pusa platinum,Arroz Basmati,15.325
Tio Lucas,Farinha milho amarelo tio lucas 1kg,Farinha Milho,495
Uami,Farinha trigo uami 1kg,Farinha Trigo,540
Tio Lucas,Farinha trigo tio lucas 1kg,Farinha Trigo,710
Nacional,Farinha extra fina nacional 1kg,Farinha Trigo,1.585
Gracia,Massa esparguete gloria 400gr,Esparguete,285
Alimo,Massa esparguete alimo 400gr,Esparguete,325
Tio Lucas,Massa esparguete tio lucas 400gr,Esparguete,325
Gracia,Massa esparguete gracia 400gr,Esparguete,345
Ros Bien,Massa esparguete ros bien 400gr,Esparguete,345
Limor,Massa espaguete limor 400gm,Esparguete,345
Primavera,Massa esparguete primavera 400gr,Esparguete,425
Donna Maria,Massa alimentar donna maria 450gr,Esparguete,890
Milaneza,Massa esparguete milaneza 500gr,Esparguete,1.155
Milaneza,Massa esparguete linguine milaneza 500gr,Esparguete,1.165
Nacional,Massa linguine c/vegetais nacional 500gr,Esparguete,1.185
Milaneza,Massa esparguete fettuccine milaneza 500gr,Esparguete,1.215
Tio Lucas,Massa cotovelos tio lucas 400gr,Cotovelos/Macarrão,265
Tio Lucas,Massa macarrao tio lucas 400gr,Cotovelos/Macarrão,295
Gracia,Massa macarrao gracia 400gr,Cotovelos/Macarrão,295
Gracia,Massa cotovelos chifferi adria 400gr,Cotovelos/Macarrão,325
Alimo,Massa elbow alimo 400gr,Cotovelos/Macarrão,595
Nacional,Massa cotovelos grossos gobbetti nacional 500gr,Cotovelos/Macarrão,1.140
Donna Maria,Massa macarrao donna maria 450gr penne rigatti,Cotovelos/Macarrão,1.585
Donna Maria,Massa macarrao donna maria 450gr concha,Cotovelos/Macarrão,1.585
Donna Maria,Massa macarrao donna maria 450gr elicoidali,Cotovelos/Macarrão,1.730
Tio Lucas,Massa espirais tio lucas 400gr,Espirais/Outras,295
Gracia,Massa espirais fusilli adria 400gr,Espirais/Outras,295
Alimo,Massa spirali alimo 400gr,Espirais/Outras,595
Nacional,Massa espirais nacional 500gr,Espirais/Outras,1.185
Milaneza,Massa talharim tagliatelle milaneza 500gr,Espirais/Outras,1.485
Donna Maria,Massa macarrao donna maria 450gr fusilli,Espirais/Outras,1.680
Alimo,Açucar branco alimo 1kg,Açúcar branco,990
Sona,Açucar branco sona 1kg,Açúcar branco,990
Alimo,Açucar branco alimo 5kg,Açúcar branco,5.940
Umaior,Açucar mascavado umaior 500gr,Açúcar mascavado,1.680
Umaior,Açucar mascavado umaior 1kg,Açúcar mascavado,3.365
Food Love,Doce cereja food love 260gr,Doce/goiabada,1.485
Food Love,Doce bagas mistas food love 260gr,Doce/goiabada,1.485
*,Doce de mucua 250ml,Doce/goiabada,1.575
Ideia Doce,Doce loengos ideia doce 250gr,Doce/goiabada,1.615
Perdiz,Marmelada extra perdiz 450gr,Doce/goiabada,1.980
Frami,Doce frami frasco 330gr frutos silvestres,Doce/goiabada,2.475
Frami,Marmelada frami 450gr,Doce/goiabada,2.970
St. Dalfour,Doce geleia st.dalfour 284gr morango,Doce/goiabada,3.215
Donna Bia,Mel 250g,Mel,1.780
Owiki-k,Mel nacional owiki-k frasco 125ml,Mel,1.980
Vitoria,Mel puro de angola vitoria 400gr,Mel,2.205
Coapa,Mel do moxico coapa 250gr,Mel,2.425
Al Fina,Oleo soja al fina 1l,Óleo Soja/Alimentar,1.185
Uami,Oleo alimentar uami 1l,Óleo Soja/Alimentar,1.585
Tio Lucas,Oleo soja tio lucas 1l,Óleo Soja/Alimentar,1.880
Primavera,Oleo vegetal primavera 1l,Óleo Soja/Alimentar,1.980
Alimo,Oleo soja alimo 1l,Óleo Soja/Alimentar,2.575
Alimo,Oleo girassol alimo 1lt,Óleo Soja/Alimentar,2.970
Alimo,Oleo soja alimo 5l,Óleo Soja/Alimentar,13.860
Alimo,Oleo palma alimo 250ml,Óleo Palma,840
Tio Lucas,Oleo palma kitandeira tio lucas 1l,Óleo Palma,1.585
Massima,Oleo de palma puro massima  1lt,Óleo Palma,2.575
Odomse,Oleo palma odomse 1l,Óleo Palma,2.670
Gallo,Azeite gallo puro lata 200ml,Azeite,2.670
Clover,Azeite extra virgem clover olive pride 1l seed oils,Azeite,3.165
Gallo,Azeite extra virgem gallo classico 250ml,Azeite,3.960
Alimo,Azeite extra virgem  alimo 250ml,Azeite,3.960
Alimo,Azeite tradicional alimo lata 500ml,Azeite,4.350
Oliveira Da Serra,Azeite oliveira da serra selecçao maduro 250ml,Azeite,4.950
Gallo,Azeite extra virgem gallo reserva 500ml,Azeite,6.585
Elaris,Azeite virgem extra elaris premium 250ml,Azeite,6.730
Elaris,Azeite virgem extra elaris premium 500ml,Azeite,7.425
Serrata,Azeite serrata tradicional 750ml,Azeite,7.920
Alimo,Azeite virgem extra alimo 750ml,Azeite,7.920
Serrata,"Azeite serrata virgem extra 0,5% 750ml",Azeite,8.910
*,Vinagre pet 500ml,Vinagre,225
Primavera,Vinagre primavera 500ml,Vinagre,345
Mira Bella,Vinagre sidra mirabella 500ml,Vinagre,740
Oliveira Da Serra,Vinagre vinho branco oliveira da serra 250ml,Vinagre,1.385
Paladin,Vinagre vinho tinto paladin 500ml,Vinagre,1.780
Gallo,Vinagre vinho branco gallo 250ml,Vinagre,2.285
Elaris,Vinagre balsamico de modena elaris 250ml,Vinagre,3.365
Frami,Vinagre balsamico frami 500ml,Vinagre,4.205
D`avo,Feijao branco cozido d`avo lata 425gr,Feijão branco/pinto,990
D Avo,Feijao branco cozido d`avo 820gr,Feijão branco/pinto,1.680
Amanhecer,Feijao manteiga amanhecer 420gr,Feijão manteiga/frade,790
Compal,Feijao frade compal 845gr,Feijão manteiga/frade,1.535
Mama Tete,Feijao manteiga mama tete 850gr,Feijão manteiga/frade,1.585
Alimo,Feijao manteiga alimo 1kg,Feijão manteiga/frade,2.575
Quê!,Feijao preto que! 400gr,Feijão preto/vermelho,990
Frami,Feijao preto frami lata 425gr,Feijão preto/vermelho,1.235
Patriota,Feijao preto patriota 1kg,Feijão preto/vermelho,1.980
Alimo,Feijao preto alimo 1kg,Feijão preto/vermelho,2.225
Frami,Feijao preto frami angola 850gr,Feijão preto/vermelho,2.325
Alimo,Grao bico alimo saco 1kg,Grão,3.365
Dourado,Massa tomate dourado lata 70gr,Tomate,130
Mama Tia,Massa tomate mama tia pacote 70gr,Tomate,150
Quê!,Massa tomate que! saq 70gr,Tomate,195
Donatella,Massa tomate donatella 70gr,Tomate,345
Quê!,Massa tomate que! 210gr,Tomate,585
Frami,Tomate triturado frami lata 390gr,Tomate,1.285
Bueno,Massa tomate bueno 400gr,Tomate,1.285
Donna Maria,Tomate pelado donna maria 400gr,Tomate,1.385
Food Love,Tomate pelado food love 400gr,Tomate,1.780
Frami,Tomate pelado frami lata 380gr,Tomate,1.980
Frami,Tomate pelado frami lata 800gr,Tomate,3.660
Palanca,Batata frita palanca 32gr pizza,Batatas fritas,325
Palanca,Batata frita palanca 32gr bbq,Batatas fritas,325
Lulu,Batata frita lulu 40gr ketchup,Batatas fritas,425
Lulu,Batata frita lulu 40gr barbecue,Batatas fritas,425
Lulu,Batata frita lulu 40gr lisa original,Batatas fritas,425
Lulu,Batata frita lulu 40gr cebola,Batatas fritas,425
Palanca,Batata frita 32gr bacon,Batatas fritas,435
Yaya,Batata frita yaya 40gr ondulada presunto,Batatas fritas,990
Yaya,Batata frita yaya 40gr lisa jindug,Batatas fritas,990
Lay´s,Batata frita lay´s 45gr originais,Batatas fritas,990
Lay´s,Batata frita lay´s 45gr camponesa,Batatas fritas,990
Ruffles,Batata frita ruffles 45gr original,Batatas fritas,990
Gostos,Aperitivo gostos 15gr aneis queijo,Snacks/Aperitivos,50
Pik Nik,Aperitivo pik nik 15gr queijo,Snacks/Aperitivos,55
Pik Nik,Aperitivo pik nik 15gr ketchup,Snacks/Aperitivos,55
Leoos,Aperitivo magic rings 15gr,Snacks/Aperitivos,60
Puff,Salgadinho churrasco 15gr,Snacks/Aperitivos,130
Vitoria,Aperitivo snack vitoria 40gr batata doce c/sal,Snacks/Aperitivos,240
*,Aperitivo castanha caju 30gr natural,Snacks/Aperitivos,700
Frittas,Snack batata doce chips frittas 110gr,Snacks/Aperitivos,1.185
Frittas,Snack banana chips frittas 150gr,Snacks/Aperitivos,1.285
Frittas,Snack mandioca chips frittas 110gr,Snacks/Aperitivos,1.285
D`ana,Paracuca de gemgibre dª ana 230gr,Snacks/Aperitivos,1.585
D`ana,Paracuca classica dª ana 230gr,Snacks/Aperitivos,1.585
Layal,Pipocas salgadas layal 42gr,Pipocas,225
Layal,Pipocas doces layal 42gr,Pipocas,235
Vitoria,Pipocas salgadas vitoria 35gr,Pipocas,240
Jota,Pipocas doces jota 35gr,Pipocas,285
Jota,Pipocas salgadas jota 35gr,Pipocas,285
Ferbar,Milho p/pipocas ferbar 200gr,Pipocas,890
Alimo,Milho para pipocas alimo 500gr,Pipocas,940
Yoki,Pipocas sabor manteiga yoki 100gr,Pipocas,1.285
Food Love,Sardinhas molho picante 155gr,Atum/Sardinhas,545
Food Love,Sardinhas molho tomate 155gr,Atum/Sardinhas,545
Radar,Atum radar sangacho em leo vegetal 120g,Atum/Sardinhas,790
Kingstar,Sardinhas oleo vegetal kingstar 125gr,Atum/Sardinhas,940
Bella,Sardinhas oleo vegetal bella 125gr,Atum/Sardinhas,940
Adonis,Atum adonis posta oleo vegetal 120gr,Atum/Sardinhas,1.285
Radar,Atum oleo vegetal radar 120gr,Atum/Sardinhas,1.285
Magalhaes,Sardinhas em tomate magalhaes 125gr,Atum/Sardinhas,1.385
Mistral,Atum oleo vegetal mistral 110gr,Atum/Sardinhas,1.680
Amanhecer,Atum posta oleo vegetal amanhecer 120gr,Atum/Sardinhas,1.680
Magalhaes,Atum oleo vegetal magalhaes 110gr,Atum/Sardinhas,1.680
Ramirez,Sardinhas em tomate ramirez 125gr,Atum/Sardinhas,1.800
Sicasal,Salsicha frankfurt sicasal 6un,Salsichas,1.285
Izidoro,Salsichas frankfurt izidoro 6un,Salsichas,1.475
Sicasal,Salsichas frankfurt sicasal 8un 350gr,Salsichas,1.485
Dilop,Salsicha frankfurt dilop 8un,Salsichas,1.575
D`avo,Salsichas hotdog d´avo frasco 410gr 6un,Salsichas,2.275
Quê!,Cogumelo inteiro que! 185gr,Cogumelos,790
Food Love,Cogumelos laminados food love frasco 314ml,Cogumelos,990
Quê!,Cogumelo laminados que! 400gr,Cogumelos,1.090
Limor,Cogumelos inteiros limor 400gr,Cogumelos,1.285
Veli,Cogumelos laminados veli 400gr,Cogumelos,1.345
Primavera,Cogumelos laminados primavera 425gr,Cogumelos,1.385
Primavera,Cogumelos inteiros primavera 425gr,Cogumelos,1.680
Frami,Cogumelos laminados frami 185gr,Cogumelos,1.830
Frami,Cogumelos inteiros frami angola 355gr,Cogumelos,2.375
Frami,Cogumelos laminados frami angola 355gr,Cogumelos,2.425
Piteca,Pate piteca 50gr frango piri-piri,Pate,225
Amanhecer,Pate de atum amanhecer 65gr,Pate,940
Quinta De Jugais,Pate de caça quinta dos jugais 110gr veado,Pate,2.365
Quê!,Milho doce que! 130gr,Milho/Outros,645
Quê!,Ervilhas que! 400gr,Milho/Outros,890
Frami,Milho doce frami 150gr,Milho/Outros,990
Quê!,Macedonia que! 400gr,Milho/Outros,990
Uami,Milho doce uami 400gr,Milho/Outros,1.090
Primavera,Milho primavera 340gr,Milho/Outros,1.235
Donna Maria,Ervilha cozida donna maria 400gr,Milho/Outros,1.285
Frami,Ervilhas frami lata 425g,Milho/Outros,1.385
Frami,Macedonia legumes frami lata 425gr,Milho/Outros,1.385
Food Love,Milho doce food love 340gr,Milho/Outros,1.585
D Avo,Ervilha cozida d`avo 850gr,Milho/Outros,1.780
Frami,Milho doce frami lata 300gr,Milho/Outros,2.080
Mebon,Ketchup mebon t/d 450 gr,Ketchup/Mostarda,1.585
Donna Bia,Ketchup donna bia 325gr,Ketchup/Mostarda,1.830
Donna Bia,Ketchup picante 500ml,Ketchup/Mostarda,2.275
Frami,Ketchup normal frami 450gr,Ketchup/Mostarda,2.375
Donna Bia,Ketchup donna bia 550ml,Ketchup/Mostarda,2.455
Paladin,Mostarda paladin td 250gr,Ketchup/Mostarda,2.670
Delicia,Ketchup delicia 500gr,Ketchup/Mostarda,2.770
Heinz,Ketchup squeezy heinz frasco 342gr,Ketchup/Mostarda,3.265
Paladin,Ketchup c/piri-piri paladin tp 250gr,Ketchup/Mostarda,3.265
Paladin,Ketchup paladin tp 250gr,Ketchup/Mostarda,3.565
Alimo,Mostarda alimo td 300ml,Ketchup/Mostarda,3.700
Paladin,Ketchup paladin tp 450gr,Ketchup/Mostarda,4.950
Kombo,Maionese kombo frasco 250ml,Maionese,1.335
Mebon,Maionese mebon 250ml,Maionese,1.385
Delicia,Maionese delicia 250gr,Maionese,1.680
Frami,Maionese frami 270gr,Maionese,2.375
Paladin,Molho batatas fritas paladin tp 275ml,Maionese,2.970
Delicia,Maionese delicia tp 450gr,Maionese,3.120
Frami,Maionese frami 430gr,Maionese,3.165
Perdiz,Maionese perdiz td 225ml,Maionese,3.165
Paladin,Maionese paladin tp 250gr,Maionese,3.565
Alimo,Maionese alimo mayo td 450ml,Maionese,3.660
Primavera,Ketchup primavera td 500ml,Maionese,3.660
Heinz,Maionese heinz frasco 240ml,Maionese,4.455
Peninsular,Tempero sumo limao peninsular 500ml,Molhos/Temperos,690
Frami,Molho piri-piri frami 100ml,Molhos/Temperos,890
Baggio,Molho bechamel baggio 60gr,Molhos/Temperos,990
Donna Maria,Tempero completo donna maria 300gr s/pimenta,Molhos/Temperos,1.130
Donna Maria,Tempero completo d.maria 300gr p/aves,Molhos/Temperos,1.130
Zinho`s,Malagueta uige tchassana zinho`s 100ml,Molhos/Temperos,1.185
Flor Da Seara,Tempero sumo limao flor da seara 85gr,Molhos/Temperos,1.285
Frami,Molho ingles frami 200ml,Molhos/Temperos,1.385
Zinho`s,Tempero p/assados zinho`s 170gr suino,Molhos/Temperos,1.635
Donna Bia,Cominhos moidos donna bia 85ml,Molhos/Temperos,1.820
Diamond River,Molho soja escura diamond river 250ml,Molhos/Temperos,1.880
*,Molho soja baixo sodio diamond river 250ml,Molhos/Temperos,1.880
Dourado,Sal fino ekango 500gr,Sal,215
Diamond,Sal do mar diamond grosso 1kg,Sal,295
Saldomar,Sal cozinha iodado saldomar 1kg,Sal,345
Sabor Vida,Sal grosso sabor a vida 1kg,Sal,565
Dantas,Sal refinado dantas frasco 95gr,Sal,1.880
Donna Bia,Sal grosso c/moinho donna bia 85ml,Sal,2.375
Dandara,Gengibre em po dandara saq 14gr,Ervas/Especiarias,425
Amanhecer,Piri-piri moido amanhecer frasco 41gr,Ervas/Especiarias,590
Dandara,Cebolinho dandara saq 7gr,Ervas/Especiarias,595
Dandara,Alho granulado dandara saq 14gr,Ervas/Especiarias,645
Dandara,Canela moida dandara saq 12gr,Ervas/Especiarias,645
Dandara,Caril moido dandara saq 14gr,Ervas/Especiarias,645
Dandara,Pimentao doce dandara saq 14gr,Ervas/Especiarias,645
Dandara,Açafrao das indias dandara saq 14gr,Ervas/Especiarias,740
Dandara,Cominhos moidos dandara saq 12gr,Ervas/Especiarias,740
Al Fina,Pimenta caiena em po al fina frasco 40gr,Ervas/Especiarias,790
Al Fina,Caril em po al fina frasco 50gr,Ervas/Especiarias,790
Al Fina,Pimenta preta moida al fina frasco 50gr,Ervas/Especiarias,890
Alimo,Caldo camarao alimo saqueta 10gr,Caldos,25
Alimo,Caldo carne alimo 8cubos 80gr,Caldos,595
Alimo,Caldo verduras alimo 80gr,Caldos,595
Alimo,Caldo peixe alimo 80gr,Caldos,595
Alimo,Caldo camarao alimo 80gr,Caldos,595
Frami,Caldo galinha frami 8 cubos,Caldos,890
Frami,Caldo carne frami 8 cubos,Caldos,890
Frami,Caldo peixe frami 8 cubos,Caldos,890
Kicaldo,Caldo  carne kicaldo em cubo 10gr,Caldos,950
Knorr,Caldo knorr 8 cubos marisco,Caldos,990
Frami,Caldo marisco frami 8 cubos,Caldos,990
Frami,Caldo carne frami 12 cubos,Caldos,1.185
Amanhecer,Sopa instant. amanhecer 72gr marisco,Sopas,1.090
Tio Lucas,Bolacha maria tio lucas 20gr,Bolacha maria/torrada,50
Super,Bolacha maria super 100gr,Bolacha maria/torrada,150
Gullon,Maria gullon leite 25g,Bolacha maria/torrada,225
Gira,Bolacha maria tio lucas 125gr,Bolacha maria/torrada,225
Tio Lucas,Bolacha maria tio lucas 125gr,Bolacha maria/torrada,235
Vieira Castro,Bolacha maria vieira castro 25gr,Bolacha maria/torrada,425
Amanhecer,Bolacha maria amanhecer 200gr,Bolacha maria/torrada,740
*,Bolacha maria embalagem transp 150gr,Bolacha maria/torrada,890
Nacional,Bolacha torrada nacional 200gr,Bolacha maria/torrada,1.090
Aliança,Bolacha maria aliança tradicional 200gr,Bolacha maria/torrada,1.485
Vieira Castro,Bolacha maria vieira castro 300gr original,Bolacha maria/torrada,5.445
Vieira Castro,Bolacha maria vieira castro 300gr s/açucar,Bolacha maria/torrada,6.435
Gira,Bolacha agua e sal gira 20gr,Bolacha cracker/água e sal,50
Tio Lucas,Bolacha cream cracker tio lucas 30gr,Bolacha cracker/água e sal,60
Bom Sabor,Bolacha cream cracker bom sabor 40gr,Bolacha cracker/água e sal,90
Gira,Bolacha agua e sal gira 125gr,Bolacha cracker/água e sal,185
Tio Lucas,Bolachas cream crackers tio lucas 200gr,Bolacha cracker/água e sal,210
Vieira Castro,Bolacha cream cracker vieira castro 30gr,Bolacha cracker/água e sal,295
Vieira Castro,Bolacha agua e sal vieira castro 14gr,Bolacha cracker/água e sal,345
Aliança,Bolacha agua e sal aliança pacote transparente,Bolacha cracker/água e sal,645
Tuc,Bolacha tuc 100gr paprika,Bolacha cracker/água e sal,840
Marilan,Bolacha cracker marilan pit stop 162gr original,Bolacha cracker/água e sal,890
Marilan,Bolacha cracker marilan pit stop 162gr pizza,Bolacha cracker/água e sal,890
Cuetara,Bolacha cuetara cracker integral 200gr,Bolacha cracker/água e sal,1.235
Monica,Bolacha c/recheio monica 35gr chocolate,Bolacha creme/waffer,60
Monica,Bolacha c/recheio monica 35gr baunilha,Bolacha creme/waffer,60
*,Bolacha recheio betna 40gr chocolate,Bolacha creme/waffer,90
*,Bolacha recheio betna 40gr baunilha,Bolacha creme/waffer,90
Popular,Bolacha wafer popular ki-bom 40gr chocolate,Bolacha creme/waffer,95
Popular,Bolacha wafer popular ki-bom 40gr morango,Bolacha creme/waffer,95
Dourado,Bolacha wafer dourado 50gr chocolate,Bolacha creme/waffer,110
Palmito,Bolacha c/creme palmary palmito 32gr,Bolacha creme/waffer,110
*,Bolacha recheio betna 60gr baunilha,Bolacha creme/waffer,120
Yummy,Bolacha c/recheio yummy 70gr chocolate,Bolacha creme/waffer,125
Yummy,Bolacha c/recheio yummy 70gr baunilha,Bolacha creme/waffer,125
Tio Lucas,Bolacha c/recheio tio lucas 110gr chocolate,Bolacha creme/waffer,145
Vieira Castro,Bolacha digestiva vieira castro 43gr,Bolacha digestiva,740
Gullon,Bolacha digestive gullon classic 400gr,Bolacha digestiva,1.930
Gullon,Bolacha gullon digestive 280gr aveia/laranja/chocolate,Bolacha digestiva,2.475
Gullon,Bolacha gullon digestive 425gr aveia/chocolate,Bolacha digestiva,2.810
Aliança,Bolacha digestiva aliança aveia 300gr,Bolacha digestiva,3.165
Gullon,Bolacha gullon digestive 425gr aveia/laranja,Bolacha digestiva,3.660
Vieira Castro,Bolacha digestiva vieira castro 174gr thins tradicional,Bolacha digestiva,4.750
Popular,Bolacha glucose popular ki-bom 33gr,Bolachas/Biscoitos,60
Tio Lucas,Bolacha glucose tio lucas 45gr,Bolachas/Biscoitos,70
Popular,Bolacha glucose popular ki-bom 50gr,Bolachas/Biscoitos,85
*,Bolacha super guloso 70gr,Bolachas/Biscoitos,90
Dianna,Bolacha doce dianna 70gr,Bolachas/Biscoitos,110
Popular,Bolacha popular ki-bom oba oba 48gr,Bolachas/Biscoitos,145
*,Bolacha super football 100gr,Bolachas/Biscoitos,155
Bom Sabor,Bolacha bom sabor 120g leite,Bolachas/Biscoitos,195
Ronnanni,Bolacha integral ronnani 110gr chocolate,Bolachas/Biscoitos,225
Delisso,Bolacha wafer delisso 42gr cocoa,Bolachas/Biscoitos,295
Mariana,Bolacha marie baunilha mariana 200gr,Bolachas/Biscoitos,345
Bionutri,Biscoitos areias de mucua bionutri 150gr,Bolachas/Biscoitos,1.140
Bakers,Tostas bakers provita 250gr wholewheat,Tostas/Pão ralado,2.175
Nestle,Nestum bolacha 300g,Cereais peq. almoço,215
Tio Lucas,Cereais gbola tio lucas 250gr,Cereais peq. almoço,545
Tio Lucas,Cereais gchocos tio lucas 250gr,Cereais peq. almoço,545
Tio Lucas,Cereais gloops tio lucas 250gr,Cereais peq. almoço,545
Nestle,Nestum mel sachet 300gr,Cereais peq. almoço,1.335
Nacional,Cereais nacional starz 300gr,Cereais peq. almoço,1.485
Alcafoods,Cereais alcafoods choco boll 200gr,Cereais peq. almoço,1.680
Nestum,Nestum mel 300gr,Cereais peq. almoço,1.780
Alcafoods,Cereais alcafoods corn sugar 300gr,Cereais peq. almoço,1.780
Nacional,Cereais corn flakes nacional 500gr,Cereais peq. almoço,1.880
Nacional,Cereais nacional powerz 300gr,Cereais peq. almoço,1.975
Alcafoods,Cereias alcafoods choco corn 300gr,Cereais peq. almoço,1.980
Al Fina,Cereais flocos aveia finos al fina 400gr,Flocos aveia/Granola,990
Dandara,Cereais flocos aveia joaquina 350gr,Flocos aveia/Granola,1.185
Tiara,Flocos aveia branca tiara 500gr,Flocos aveia/Granola,3.465
Delta,Cafe expresso delta q c/10 capsulas nº15 mythiq,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº9 qharacter,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº8 aqtivus,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº5 qonvictus,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº12 qharisma,Café cápsulas,5.940
Delta,Cafe delta q epiq c/10 capsulas nº14,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas cevada pure,Café cápsulas,6.930
Delta,Cha delta q tisana refresh verde c/10 capsulas ref. 03112,Café cápsulas,7.820
Delta,Cha delta q tetley c/10 capsulas relax,Café cápsulas,7.820
Delta,Cafe expresso delta q c/10 capsulas double coffee,Café cápsulas,7.920
Delta,Cafe expresso delta q c/10 capsulas canela,Café cápsulas,7.920
Delta,Cafe expresso delta q pack xl c/40 capsulas nº8 aqtivus,Café cápsulas,11.880
Loya,Cafe instantaneo loya 3em1 galao 20gr,Café instantâneo/solúvel,100
Samba,Cafe instantaneo samba 50gr,Café instantâneo/solúvel,740
Samba,Cafe instantaneo samba 100gr,Café instantâneo/solúvel,1.385
Cafrica,Cafe instantaneo cafrica 50gr descafeinado,Café instantâneo/solúvel,2.475
Delta,Cafe soluvel delta ginga 3em1 400gr 20un,Café instantâneo/solúvel,2.970
Cafrica,Cafe instantaneo cafrica 100gr classico,Café instantâneo/solúvel,3.960
Cafrica,Cafe instantaneo cafrica 100gr descafeinado,Café instantâneo/solúvel,4.155
Delta,Cafe soluvel delta frasco 100gr,Café instantâneo/solúvel,4.850
Delta,Cafe cevada soluvel delta frasco 200gr,Café instantâneo/solúvel,5.145
Delta,Cafe soluvel delta grancafe gold frasco 100gr,Café instantâneo/solúvel,5.245
Delta,Cafe + cereais soluvel delta frasco 200gr,Café instantâneo/solúvel,5.940
Ginga,Cafe moido ginga lote bwe md 125gr,Café moído/grão,1.285
*,Cafe moido do povo diamante 250gr,Café moído/grão,2.475
Ginga,Cafe moido ginga lote bwe md 250gr,Café moído/grão,2.475
Ginga,Cafe ginga lobito gr 250gr,Café moído/grão,4.455
Ginga,Cafe moido ginga lote bwe md 500gr,Café moído/grão,4.650
3 Coraçoes,Cafe torrado moido 3coraçoes tradiçao 500gr,Café moído/grão,4.950
Ginga,Cafe moido ginga lote lobito md 500gr,Café moído/grão,5.445
Delta,Cafe moido delta lote brazil 220gr,Café moído/grão,6.930
Delta,Cafe delta lote chavena ms 250gr,Café moído/grão,7.920
Delta,Cafe grao delta lote chavena gr 250gr,Café moído/grão,11.385
Al Fina,Cha preto al fina 25 saq,Chá saquetas,595
Amanhecer,Cha amanhecer 10saq cidreira,Chá saquetas,595
Sona,Cha preto sona 25 saq 50gr,Chá saquetas,645
Amanhecer,Cha infusao amanhecer 10saq tilia,Chá saquetas,720
Al Fina,Cha verde al fina 25 saq menta,Chá saquetas,790
Al Fina,Cha al fina 25 saq limao,Chá saquetas,790
Al Fina,Cha verde al fina 25 saq limao,Chá saquetas,790
Al Fina,Cha verde al fina 25 saq caxinde,Chá saquetas,790
Al Fina,Cha verde al fina 25 saq,Chá saquetas,790
Just A Minute,Cha preto just a minute 28gr 20un,Chá saquetas,890
Bom Tea,"Cha bom tea 1,2gr preto 25saq",Chá saquetas,990
Sona,Cha sona 25 saq limao,Chá saquetas,1.090
Twisco,Achocolatado twisco 250gr,Achocolatado,1.535
Twisco,Achocolatado em po twisco 400gr,Achocolatado,1.680
Nesquick,Chocolate po nesquick 250gr,Achocolatado,2.225
Twisco,Achocolatado twisco jarro 400gr,Achocolatado,2.425
Nesquick,Chocolate po nesquik 500gr,Achocolatado,3.810
Bom Dia,Leite em po instantaneo bom dia 20gr,Leite em Pó,70
Momo,Leite em po momo pacote 17gr,Leite em Pó,90
Nestle,Leite em po nido fortificante sachet 17gr,Leite em Pó,90
Nutrias,Leite nutrias pacote 250gr,Leite em Pó,1.435
Mixwell,Leite em po instantaneo mixwell pacote 400gr,Leite em Pó,1.680
Nutra Plus,Leite em po nutra plus sachet 500gr,Leite em Pó,1.980
Nido,Leite em po nido fortificante pacote 400gr,Leite em Pó,2.080
Nutrias,Leite em po nutrias lata 400gr,Leite em Pó,2.175
Momo,Leite em po inst. momo pacote 500gr,Leite em Pó,2.670
Nutrias,Leite em po nutrias saco 500gr,Leite em Pó,2.870
Nestle,Leite lactogen 2 400g,Leite em Pó,3.265
Nido,Leite em po nido fortificante lata 400gr,Leite em Pó,3.465
Cereamil,Farinha lactea cereamil milby 50gr arroz/leite,Farinha Láctea,245
Cereamil,Farinha lactea cereamil milby 50gr trigo/mel,Farinha Láctea,245
Nutribom,Farinha lactea nutribom 350gr aveia,Farinha Láctea,1.090
Nestle,Farinha lactea cerelac 250gr multicereais,Farinha Láctea,1.090
Cereamil,Farinha lactea cereamil milby 250gr arroz/leite,Farinha Láctea,1.285
